Combination,Fold,CV_PR_AUC,CV_ROC_AUC,model__class_weight,model__max_depth,model__max_features,model__min_samples_leaf,model__n_estimators
73,1,0.2697830864754722,0.594436024921787,balanced_subsample,8.0,sqrt,3,300
73,2,0.0924711992951952,0.5102859821847163,balanced_subsample,8.0,sqrt,3,300
73,3,0.07220838314502959,0.5866862348738682,balanced_subsample,8.0,sqrt,3,300
73,4,0.06624038591190837,0.5450521147732303,balanced_subsample,8.0,sqrt,3,300
74,1,0.2672309209147288,0.5933193303377557,balanced_subsample,8.0,sqrt,3,500
74,2,0.09426134851682949,0.5179746835443038,balanced_subsample,8.0,sqrt,3,500
74,3,0.07074413124223533,0.5786558856921331,balanced_subsample,8.0,sqrt,3,500
74,4,0.07545021741047396,0.5530202422632701,balanced_subsample,8.0,sqrt,3,500
75,1,0.26988003141035194,0.6016856770625615,balanced_subsample,8.0,sqrt,5,300
75,2,0.09280561491659353,0.5077730895452414,balanced_subsample,8.0,sqrt,5,300
75,3,0.07534641901152331,0.6007531913715283,balanced_subsample,8.0,sqrt,5,300
75,4,0.06940433543777055,0.5452533301138879,balanced_subsample,8.0,sqrt,5,300
76,1,0.27139966752454203,0.603821577020907,balanced_subsample,8.0,sqrt,5,500
76,2,0.09192411823048358,0.5046788560712612,balanced_subsample,8.0,sqrt,5,500
76,3,0.0753812934864153,0.5979564145875447,balanced_subsample,8.0,sqrt,5,500
76,4,0.07438698859177555,0.5783331321179928,balanced_subsample,8.0,sqrt,5,500
77,1,0.27768092738614497,0.6108319374651033,balanced_subsample,8.0,sqrt,10,300
77,2,0.09158118898924911,0.5032911392405063,balanced_subsample,8.0,sqrt,10,300
77,3,0.06804228712727167,0.5700440284662034,balanced_subsample,8.0,sqrt,10,300
77,4,0.07398833647079667,0.5552738540786349,balanced_subsample,8.0,sqrt,10,300
78,1,0.2780109181262728,0.6118422801839887,balanced_subsample,8.0,sqrt,10,500
78,2,0.09209925519240428,0.5075105485232068,balanced_subsample,8.0,sqrt,10,500
78,3,0.07201579006089104,0.5900091379835517,balanced_subsample,8.0,sqrt,10,500
78,4,0.0631671479055183,0.533140166606302,balanced_subsample,8.0,sqrt,10,500
79,1,0.2574304845712184,0.5804994992599682,balanced_subsample,8.0,0.7,3,300
79,2,0.0854857894088506,0.4771870604781997,balanced_subsample,8.0,0.7,3,300
79,3,0.06678896614407376,0.5507434995707917,balanced_subsample,8.0,0.7,3,300
79,4,0.05595249559484493,0.5758783049619703,balanced_subsample,8.0,0.7,3,300
